img,desc,source,weight
https://photolib.noaa.gov/Portals/0//GravityImages/4322/ProportionalFixedWidth/figb029187470x800x800.jpg,"Plate 35. The Sunfish. Mola rotunda, Cuvier. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4323/ProportionalFixedWidth/figb029287470x800x800.jpg,"Plate 36. The Swell-fish or Burr-fish. Chilomycterus geometricus(Schneider), Kaup. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4324/ProportionalFixedWidth/figb029387470x800x800.jpg,"Plate 37. The Trunk-fish or Cow-fish. Ostracion quadricornis, L. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4325/ProportionalFixedWidth/figb029487470x800x800.jpg,"Plate 38. The Trigger-fish. Balistes capriscus, Gmelin. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4326/ProportionalFixedWidth/figb029587470x800x800.jpg,"Plate 39. The Sea Horse. Hippocampus heptagonus, raf. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4327/ProportionalFixedWidth/figb029687470x800x800.jpg,"Plate 40. The Goose-fish or Bellows-fish. Lophius piscatorius, L. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4328/ProportionalFixedWidth/figb029787470x800x800.jpg,"Plate 41. The American Sole or Hog Choker. Achirus lineatus, Cuv. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4329/ProportionalFixedWidth/figb029887470x800x800.jpg,"Plate 42. The American Plaice or Turbot-Flounder. Paralichthys dentatus, (L.),Jordan and Gilbert. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4330/ProportionalFixedWidth/figb029944489x800x800.jpg,"Plate 43. The Four-Spotted Flounder. Paralichthys oblongus, (Mitch.),Jordan and Gilbert. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4331/ProportionalFixedWidth/figb030044489x800x800.jpg,"Plate 44. The Flatfish, or Winter Flounder. Pseudopleuronectes americanus,(Walb.), Gill. ","
NOAA Photo Library",3
