desc,source,img
Caught fish [ca. 1940], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:5384/datastream/JPG/view
Fishing on the Similkameen [1918], Hedley Museum,https://bcrdh.ca/islandora/object/hedley:5054/datastream/JPG/view
Fishing camp [1934], Hedley Museum,https://bcrdh.ca/islandora/object/hedley:5816/datastream/JPG/view
Child fishing [Undated], Sicamous and District Museum and Historical Society,https://bcrdh.ca/islandora/object/sicamous:816/datastream/JPG/view
Fishing in the canyon [Undated], Fernie & District Historical Society,https://bcrdh.ca/islandora/object/fernie:1253/datastream/JPG/view
Fish strung around a fishing boat [1910], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:26890/datastream/JPG/view
Collapsible fishing rod and fish laid out in a triangle [1938-1939], UBC Okanagan Library - Okanagan Special Collections,https://bcrdh.ca/islandora/object/ubco:2195/datastream/JPG/view
Man carrying a large fish [1910], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:26771/datastream/JPG/view
Indigenous peoples with fish catch [1910], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:26821/datastream/JPG/view
Man with a large fish [1910], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:26872/datastream/JPG/view
C. Durant with a large fish [1910], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:26873/datastream/JPG/view
Peter Lawrence fishing [1925], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:2648/datastream/JPG/view
Fishing on an upper lake [Undated], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:29522/datastream/JPG/view
Jean Megaw fishing [Undated], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:12088/datastream/JPG/view
Cadets fishing at Bolean Lake [1962], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:25616/datastream/JPG/view
"Fishing on Mable Lake, Lumby [Undated]", Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:26224/datastream/JPG/view
Firemen ice fishing with their snowmobiles [1991], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:27223/datastream/JPG/view
Man fishing from rocks [Undated], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:6559/datastream/JPG/view
Group fishing on Echo Lake [1996], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:12937/datastream/JPG/view
Echo Lake fishing [1996], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:12943/datastream/JPG/view
Earl Megaw fishing [Undated], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:9788/datastream/JPG/view
Earl Megaw fishing [Undated], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:9789/datastream/JPG/view
Earl Megaw fishing [Undated], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:9790/datastream/JPG/view
Boys fishing in Polson Park? [1960], Greater Vernon Museum and Archives,https://bcrdh.ca/islandora/object/gvma:18797/datastream/JPG/view
Fishing party at Murphy Creek [1899], Trail Historical Society,https://bcrdh.ca/islandora/object/trail:3334/datastream/JPG/view
J. Buchanan fishing [1907], Trail Historical Society,https://bcrdh.ca/islandora/object/trail:583/datastream/JPG/view
George Isitt Sr. with fish [ca. 1950], Nicola Valley Museum & Archives,https://bcrdh.ca/islandora/object/nvma:2956/datastream/JPG/view
Group of children holding fish [1948], Nicola Valley Museum & Archives,https://bcrdh.ca/islandora/object/nvma:3207/datastream/JPG/view
"Children fishing, Coldwater River [1909]", Nicola Valley Museum & Archives,https://bcrdh.ca/islandora/object/nvma:682/datastream/JPG/view
Selection of fish catch [Undated], Nicola Valley Museum & Archives,https://bcrdh.ca/islandora/object/nvma:697/datastream/JPG/view
Archie Hardy holding fish [Undated], Nicola Valley Museum & Archives,https://bcrdh.ca/islandora/object/nvma:718/datastream/JPG/view
George Cassidy with fish [Undated], Nicola Valley Museum & Archives,https://bcrdh.ca/islandora/object/nvma:724/datastream/JPG/view
Young boy with fish catch [Undated], Nicola Valley Museum & Archives,https://bcrdh.ca/islandora/object/nvma:708/datastream/JPG/view
