"img","desc","source"
"https://live.staticflickr.com/65535/48809117473_4fe79b9fb6_b.jpg","Golden Trevally, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/48807967946_66fcde3a09_b.jpg","Rainbow Trout, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/48774856151_eab1e0c754_b.jpg","Red Bream, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/48750926337_abd0a5e89b_b.jpg","Tiger Prawn, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/48215824326_6ac3461c68_b.jpg","Two Pony Fish, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/48172584616_604c3541d7_b.jpg","Starry Smooth Hound Shark, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/48160057561_e57d91185c_b.jpg","Barracuda, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/48155176066_cf436bfbd5_b.jpg","Barracuda, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/48098709291_89dfa7e33f_b.jpg","Double Little Black Rabbit Fish, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/33998315308_c693d0d1ee_b.jpg","Rabbit Fish, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/46959289945_26ded620bb_b.jpg","Little Parrot Fish, Bug Eye + Rabbit Fish, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/47074721984_d49f77afbc_b.jpg","Little Parrot Fish, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/47833801291_c81c9697c0_b.jpg","Butter Fish, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/65535/33845052248_e13b669851_b.jpg","Yellow Finned Snapper, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/7827/40606967673_f20e224cc8_b.jpg","Rainbow Snapper, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/7814/46650687465_da426db32d_b.jpg","Parrot Fish, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/7814/40484167113_cbc38696aa_b.jpg","Double Pompano, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/7815/46612679964_488a1b4688_b.jpg","Little Spotted Grouper + Red Grouper, little_auk, 2019","Gyotaku Flickr Group"
"https://live.staticflickr.com/1901/44645406574_c44e714686_b.jpg","Wild Sea Bass (detail), little_auk, 2018","Gyotaku Flickr Group"
"https://live.staticflickr.com/1928/45318649712_e7e29e9c76_b.jpg","Wild Sea Bass, little_auk, 2018","Gyotaku Flickr Group"
"https://live.staticflickr.com/4574/38120371164_53bf8dbb33_b.jpg","Champlain-Crappie, Stephen  Di Cerbo, 2017","Gyotaku Flickr Group"
"https://live.staticflickr.com/4524/27059959349_e8a7a30ef7_b.jpg","Champlain-Pike, Stephen  Di Cerbo, 2017","Gyotaku Flickr Group"
"https://live.staticflickr.com/4531/24963815288_28f42da2de_b.jpg","Greyscale-Largemouth-Bass-Direct, Stephen  Di Cerbo, 2017","Gyotaku Flickr Group"
"https://live.staticflickr.com/4549/27059952729_0f4cee1ba4_b.jpg","Red-Hind, Stephen  Di Cerbo, 2017","Gyotaku Flickr Group"
"https://live.staticflickr.com/301/19195178549_809e64c090_b.jpg","'The Soul of Newlyn Harbour'  - Cornish Megrim Sole landed by Beam Trawler 'Billy Rowney' - PZ532, Simon K.Bradley, 2015","Gyotaku Flickr Group"
"https://live.staticflickr.com/7602/16818182556_3f0b6a2d33_b.jpg","Gyotaku - Handprinted in oils direct from Fish landed at Cadgwith Cove, Simon K.Bradley, 2015","Gyotaku Flickr Group"
"https://live.staticflickr.com/2934/14628837740_d55f8e3902_b.jpg","Japanese style Gyotaku (fish Print) of sea bass., Curious Seagull, 2014","Gyotaku Flickr Group"
"https://live.staticflickr.com/2939/14300902697_e73e532be5_b.jpg","Snapper, Mikehagen2103, 2014","Gyotaku Flickr Group"
"https://live.staticflickr.com/3921/14168327307_e8130ea81d_b.jpg","Tailor i caught at palm beach on squid I caught in pittwater from a boat I put in at bayview, Mikehagen2103, 2014","Gyotaku Flickr Group"
"https://live.staticflickr.com/2909/14158529714_49602ce3c6_b.jpg","Dolphinfish and yakkas, Mikehagen2103, 2014","Gyotaku Flickr Group"
"https://live.staticflickr.com/5499/14117922371_34ff396d8a_b.jpg","Gyotaku dolphinfish and squid, Mikehagen2103, 2014","Gyotaku Flickr Group"
"https://live.staticflickr.com/8090/8561830289_60e4664ce5_b.jpg","Cosmic Rainbows, Stephen  Di Cerbo, 2008","Gyotaku Flickr Group"
"https://live.staticflickr.com/8390/8475596716_c07d0df4c0_b.jpg","Two Fish, suehawkins, 2013","Gyotaku Flickr Group"
