"img","desc","source"
"https://northshorefisheries.net/wp-content/uploads/2023/04/1-Fisherman-L.-Superior.jpg","Fisherman, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/2-Ojibway-catching-whitefish-with-dip-nets-in-the-St.-Marys-River-rapids-Sault-Ste.-Marie-L.-Superior-circa-1900-Public-Archives-of-Canada-PAC32664.jpg","Ojibway catching whitefish with dip nets in the St. Mary's River rapids, Sault Ste. Marie, L. Superior, circa 1900 (Public Archives of Canada, PAC32664)","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/3-A-1900-pound-haul-of-whitefish-and-lake-trout-caught-in-the-St.-Marys-R.-Sault-Ste.-Marie-1890s-L.-Superior-from-AE-Young-1900-The-Soos-of-Today.jpg","A 1900-pound haul of whitefish and lake trout caught in the St. Mary's R. Sault Ste. Marie, 1890s, L. Superior (from AE Young, 1900, The Soos of Today)","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/4-Michigan-State-Fish-Hatchery-Duluth-L.-Superior-1890s-from-AE-Young-1900-The-Soos-of-Today.jpg","Michigan State Fish Hatchery, Duluth, L. Superior, 1890s (from AE Young, 1900, The Soos of Today)","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/5-Ontario-Dept.-of-Lands-and-Forests-fish-hatchery-at-Sault-Ste-Marie-1956-Public-Archives-of-Ontario-RG9-Series-136-Acc.-10999-Neg.-8-H-1956.jpg","Ontario Dept. of Lands and Forests fish hatchery at Sault Ste Marie, 1956 (Public Archives of Ontario, RG9 Series, 136, Acc. #10999, Neg. 8-H-1956)","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/6-East-end-location-unknown-L.-Superior.jpg","East end, location unknown, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/7-East-end-Tug-LaPlante-location-unknown-L.-Superior.jpg","East end, Tug LaPlante, location unknown, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/8-Mr.-and-Mrs.-Philip-Renner-Agawa-Bay-L.-Superior-1940s.jpg","Mr. and Mrs. Philip Renner, Agawa Bay, L. Superior, 1940s","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/9-A.-Booth-and-Cos-station-at-Quebec-Hbr.-Michipicoten-Is.-L.-Superior-c.-1900-from-JM-Bell-1905-Ont.-Bur.-of-Mines-Reports-14-Pt.-I-278-355.jpg","A. Booth and Co's station at Quebec Hbr., Michipicoten Is., L. Superior, c. 1900 (from JM Bell, 1905, Ont. Bur. of Mines, Reports, 14 (Pt. I), 278-355)","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/10-Pic-River-L.-Superior.jpg","Pic River, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/11-Port-Coldwell-harbour-L.-Superior.-The-tug-Georgina-was-first-operated-in-the-1890s-by-the-Union-Fish-Co.-of-Port-Arthur.jpg","Port Coldwell harbour, L. Superior. The tug “Georgina” was first operated in the 1890s by the Union Fish Co. of Port Arthur.","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/04/12-Fishing-village-Jack-Fish-Lake-Superior-on-Canadian-Pacific-Railway-L.-Superior-c.-1911-Public-Archives-Canada-PAC26018.jpg","Fishing village, Jack Fish, Lake Superior, on Canadian Pacific Railway, L. Superior, c. 1911 (Public Archives Canada, PAC26018)","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/05/13-View-of-the-town-of-Jackfish-from-the-harbour-from-a-postcard-L.-Superior-n.d.-The-22-room-Lakeview-Hotel-is-on-the-far-side-of-the-track-on-the-right-courtesy-Peter-Dahl-885.jpg","View of the town of Jackfish from the harbour, from a postcard, L. Superior, n.d. The 22-room Lakeview Hotel is on the far side of the track on the right (courtesy Peter Dahl, 8/85)","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/05/14-The-Gunilda-owned-by-oil-baron-William-Harkness-of-Cleveland-Ohio-prior-to-sinking-in-1911-near-Rossport-L.-Superior.jpg","The Gunilda owned by oil baron William Harkness of Cleveland, Ohio, prior to sinking in 1911 near Rossport, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/05/15-Steam-tug-Rossport-L.-Superior-pre-1918.jpg","Steam tug, Rossport, L. Superior, pre-1918","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/05/16-McKays-Landing-Rossport-L.-Superior-c.-1890.jpg","McKay's Landing (Rossport), L. Superior, c. 1890","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/05/17-Rossport-L.-Superior-1920s-.-The-large-Nipigon-Bay-Fish-Co.-sheds-were-those-first-erected-by-the-company.jpg","Rossport, L. Superior, 1920s (?). The large Nipigon Bay Fish Co. sheds were those first erected by the company","Canadian Great Lakes North Shore Fisheries Archive"
"https://northshorefisheries.net/wp-content/uploads/2023/05/18-Rossport-L.-Superior-1940s.-The-Nipigon-Bay-Fish-Co.-buildings-are-gone-and-the-base-of-operations-has-shifted-farther-east.jpg","Rossport, L. Superior, 1940s. The Nipigon Bay Fish Co. buildings are gone and the base of operations has shifted farther east.","Canadian Great Lakes North Shore Fisheries Archive"
