desc,source,img
"Fishing in Reclusion at Cha-hsi by Wang Meng, 1370","Yuan Dynasty ink and paper drawing","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/1370-FishingInReclusion.jpg"
"The Big Fish Eat the Little Fish by Pieter Bruegel the Elder, 1556","Brush and pen in gray and black","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1556-BigFish.jpeg"
"The Big Fish Eat the Little Fish by Pieter van der Heyden, 1557","Engraving","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1557-BigFish.jpeg"
"Fisherman Pulling a Net by Jean-Honoré Fragonard,1774","Chalk drawing","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1774-FishermanPullingNet.jpg"
"Fishermen at Sea by Joseph Mallord William Turner, 1796","Oil on canvas painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1796-FishermanAtSea.jpg"
"Fishing by Torchlight in Kai Province (「千絵の海　甲州火振」) by Katsushika Hokusai, 1833","Edo Period wood block print","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1833-FishingByTorchlight.jpg"
"La peche (Fishing) by Édouard Manet, 1863","Impressionist oil on canvas","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1863-LaPeche.jpg"
"A Basket of Clams by Winslow Homer, 1873","Watercolor on wove paper","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1890-BassFishing.jpeg"
"The Fishermen (Fantastic Scene) Paul Cézanne, 1875","Impressionist oil on canvas painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1875-TheFisherman.jpeg"
"The Trout by Gustave Courbet, 1871","Realist oil on canvas painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1871-TheTrout.jpg"
"A Fishergirl Baiting Lines, by Winslow Homer, 1881","Watercolor painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1881-FishergirlBaitingLines.jpeg"
"Lost on the Grand Banks by Winslow Homer, 1885","Realist oil on canvas painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1885-LostOnTheGrandBanks.jpeg"
"The Fog Warning by Winslow Homer, 1885","Realist oil on canvas painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1885-TheFogWarning.jpeg"
"Shark Fishing by Winslow Homer, 1885","Realist oil on canvas painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1885-SharkFishing.jpeg"
"The Herring Net by Winslow Homer, 1885","Realist oil on canvas painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1885-TheHerringNet.jpg"
"Rowing Home by Winslow Homer, 1890","Watercolor on paper","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1890-RowingHome.jpeg"
"Bass Fishing, Florida by Winslow Homer, 1890","Watercolor on paper","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1890-BassFishing.jpeg"
"The Fisher Girl by Winslow Homer, 1894","Realist oil on canvas painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/1894-TheFisherGirl.jpg"
"Boy Fishing by Winslow Homer, 1892","Painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1892-BoyFishing.jpeg"
"A good pool, Saguenay River by Winslow Homer, 1895","Watercolor over graphite pencil on wove paper (with scraping)","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1895-GoodPool.jpeg"
"Fishing Boat on the Lake by Hishida Shunsō, 1900","Meiji silk painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1900-FishingBoatOnTheLake.jpg"
"Fishing Boats, Key West by Winslow Homer, 1903","Watercolor and graphite drawing","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1892-BoyFishing.jpeg"
"Fishing by Natalia Goncharova, 1909","Post-Impressionist oil on canvas painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1909-Fishing.jpg"
"Halibut Fishing by Winslow Homer, 1910","Realist oil on canvas painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1910-HalibutFishing.jpeg"
"Cleaning Fish by George Bellows, 1913","Realist oil on panel painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1913-CleaningFish.jpg"
"Untitled (Fishermen) by Faeq Hassan, 1963","Early Modernist oil on paper painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1963-UntitledFishermen.jpeg"
"Pescadoras 2 (Fishermen) by Armando Morales, 1979","Oil on paper painting","https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/other/1979-Pescadoras.jpeg"
