desc,source,img
Unloading salmon at a fish packing plant. ,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/6/1/6100bdbe73c75b00ef24899ce561af0db506e2ec3bee8e4fe6fc9e413d1663ed/d-08378_141.jpg
A BC fish cannery. ,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/9/896cabeecf55beec341e092e967fad953a6ead9e75ba2e15358bbf6dc1a9d8e3/d-08370_141.jpg
Women filleting fish at a cannery. ,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/b/f/bfb9340269c4a76a17fc89403aba706877f85c98c73e67f822330541f3abbcc3/d-08379_141.jpg
"""BC Canneries; pitching fish to platform: ",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/e/6/e63b703c5d3f4f7388b0b0c5f132561dfd691943d76b5e90a529875c9e67b73b/d-04025_141.jpg
"""Sanborn's Columbia River Salmon, SS Brand, Packed by Geo. W. Sanborn, Astoria Ore."" [190-]",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/d/f/dfca949a3c36d271f7b9d716eba19dfdbf755265ab05530a20bc4d3e93ea7442/i-61124_141.jpg
"""Porter Fish Company Cohoe (sic) Salmon, Launch Brand, Packed at Anacortes Washington USA."" [190-]",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/8/88e0035b23afe1c22771ce6e3faefab58907cfe13ca0dd235024aae42cdde886/i-61194_141.jpg
"Charles Herbert Tye; on the trail between Port Essington to Hazelton, on his way to the fish hatchery at Stuart Lake. 1907",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/1/7/17765fae6685edc556e4fa9a0f4bd551b578fb076360c84afa629ceec7575193/i-67870_141.jpg
"Mrs. Allan, Robert Allan, Baptist minister the Reverend Cook; and Mrs. Noel Lang with her first fish; photo taken opposite Crofton, BC;  Mr. Allan was a customs officer around 1912. [ca. 1912]",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/c/d/cd2bacaa5db82f57e2fc48a811c173148cec51d675271324cff382382130df2c/e-08070_141.jpg
The SS Merlin On The Way To The Lakelse Fish Hatchery [191-],Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/b/8bd73036b87a517c3ba5c831e6b663e09c1ee9822ac19f4b21ec53922fcb121e/e-01778_141.jpg
SS Manhattan At The New England Fish Co. Wharf 1915,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/0/7/07581f248f7cdedf2978bce1109e5656022272979ef9357310b52a3983b1c69d/e-09133_141.jpg
