"img","desc","source"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/1.jpg","Fishing sailboats being towed by a tugboat into the inlet, Bella Coola [193-?]","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/2.jpg","Two people fishing for eulichan in a spoon canoe at the mouth of the Bella Coola River [19--?]","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/3.jpg","B.C. Packers Cannery at the wharf on the right. Sailboat fishing fleet is being towed on the left. Bella Coola [1933-1956]","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/4.jpg","Fishing Boats at Tallheo Cannery, Bella Coola [192-?]","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/5.jpg","Fishing Sailboats at Tallheo Cannery, Bella Coola [192-?]","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/6.jpg","Native Fish Apparatus in Dean Canyon, Bella Coola [19--?]","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/7.jpg","Fishing Sailboat, RL5392 that may have been owned by Rasmus Levelton. Four Mile Mountain and Necleetsconnay Valley are in the background. Bella Coola [193-?]","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/8.jpg","Fishing Fleet, Bella Coola [193-?]","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/9.jpg","Fishing Sailboats, Bella Coola [193-?]","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/10.jpg","Two Men on Sailboat, Bella Coola [192-?]","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/11.jpg","Fishing Fleet Near Clayton Falls, Bella Coola [192-?]","Bella Coola Valley Museum, B.C. Central Coast Archives"
