"img","desc","source"
"https://farm7.staticflickr.com/6231/6267236110_326bd672ff_b.jpg","HOMARD COMMUN (Astacus marinus Penn)","La Pêche et les poissons (1868) by Henri de La Blanchère, Paris, C. Delagrave et cie"
"https://farm7.staticflickr.com/6164/6267240876_6145e365a0_b.jpg","GRONDIN OU TRIGLE HIRONDELLE (Trigla hirundo. Lin)","La Pêche et les poissons (1868) by Henri de La Blanchère, Paris, C. Delagrave et cie"
"https://farm7.staticflickr.com/6155/6267236706_1fc9679cd3_b.jpg","COQUETTE BLEUE ou LABRE MÈLÉ, FEMELLE (Labrus mixtus, fæm. Fries et Heck)","La Pêche et les poissons (1868) by Henri de La Blanchère, Paris, C. Delagrave et cie "
"https://farm7.staticflickr.com/6095/6267236446_db82536313_b.jpg","COQUETTE BLEUE ou LABRE MÈLÉ, MALE (Labrus mixtus mas. Fries et Heck)","La Pêche et les poissons (1868) by Henri de La Blanchère, Paris, C. Delagrave et cie"
"https://farm7.staticflickr.com/6102/6267234936_42efc4d445_b.jpg","CYPRIN DORÉ DE LA CHINE (Carassius auratus. Lin)","La Pêche et les poissons (1868) by Henri de La Blanchère, Paris, C. Delagrave et cie"
"https://farm7.staticflickr.com/6037/6267240548_b60c76b76b_b.jpg","SILURE D'EUROPE (Silurus glarus. Lin)","La Pêche et les poissons (1868) by Henri de La Blanchère, Paris, C. Delagrave et cie"
"https://farm7.staticflickr.com/6100/6266713231_6a4cfd03de_b.jpg","RAIE BOUCLÉE. Raja Clavata. (Rond)","La Pêche et les poissons (1868) by Henri de La Blanchère, Paris, C. Delagrave et cie"
"https://farm7.staticflickr.com/6238/6267239430_8c5f4442d1_b.jpg","RAIE BÂTIS OU RAIE GRISE (Raja batis. Lin.)","La Pêche et les poissons (1868) by Henri de La Blanchère, Paris, C. Delagrave et cie"
"https://farm7.staticflickr.com/6220/6267236282_f4c36af4cf_b.jpg","VIEILLE ROUGE OU LABRE COMBRE (Labrus Comber. Ray.)","La Pêche et les poissons (1868) by Henri de La Blanchère, Paris, C. Delagrave et cie"
"https://farm7.staticflickr.com/6100/6266712187_d4a7fbe39c_b.jpg","PAGEL OU ROUSSEAU. Pagellus Centrodontus (Cuv)","La Pêche et les poissons (1868) by Henri de La Blanchère, Paris, C. Delagrave et cie"
