"img","desc","source"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/07.jpg,"Small Mouthed Black Bass","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/12.jpg,"Large Mouthed Black Bass","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/13.jpg,"Maskinonge","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/18.jpg,"Great Northern Pike","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/19.jpg,"Yellow Pickerel","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/22.jpg,"Speckled Trout","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/23.jpg,"Lake Trout","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/28.jpg,"Red Trout of Quebec","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/29.jpg,"Rainbow Trout","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/32.jpg,"Steelhead Trout","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/33.jpg,"Kamloops Trout","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/38.jpg,"Cut-Throat Trout","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/39.jpg,"Atlantic Salmon","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/44.jpg,"Ouananiche","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/gameFishesCanada/45.jpg,"King Salmon","
The Game Fishes of Canada (1928), Published by the Canadian Pacific Railway Company"
