img,desc,source
https://s3.amazonaws.com/NARAprodstorage/lz/stillpix/370-d/370-D-5S1-P7170007.JPG,"""Halibut fishing.       
Location: St. Paul Island, Alaska
Date: July 17, 2001
Photographer Affiliation: CESI [Columbia Environmental Services, Inc.]
NARA Accessioned Digital Format: JPG""",Department of Commerce. National Oceanic and Atmospheric Administration. National Ocean Service. Office of Response and Restoration. Pribilof Islands Restoration Project Office. 1996-9/2008
https://s3.amazonaws.com/NARAprodstorage/opastorage/live/88/827/12082788/content/arcmedia/central-plains/kansas-city/285796/75-SR-1043.jpg,"""""",Department of the Interior. Bureau of Indian Affairs. Standing Rock Agency. 9/17/1947-
https://s3.amazonaws.com/NARAprodstorage/lz/stillpix/022-dp/22-DP/022-DP-02459.jpg,"""
Creator: Ramirez Jr, Pedro.
Subjects: lake; man; Recreation;Wyoming.
Publisher: U.S. Fish and Wildlife Service.""",Department of the Interior. U.S. Fish and Wildlife Service. National Conservation Training Center. 10/1997-8888
https://s3.amazonaws.com/NARAprodstorage/opastorage/live/74/845/12084574/content/arcmedia/central-plains/kansas-city/285796/75-SR-787.jpg,"""""",Department of the Interior. Bureau of Indian Affairs. Standing Rock Agency. 9/17/1947-
https://s3.amazonaws.com/NARAprodstorage/opastorage/live/70/845/12084570/content/arcmedia/central-plains/kansas-city/285796/75-SR-785.jpg,"""""",Department of the Interior. Bureau of Indian Affairs. Standing Rock Agency. 9/17/1947-
https://s3.amazonaws.com/NARAprodstorage/opastorage/live/68/845/12084568/content/arcmedia/central-plains/kansas-city/285796/75-SR-784.jpg,"""""",Department of the Interior. Bureau of Indian Affairs. Standing Rock Agency. 9/17/1947-
https://s3.amazonaws.com/NARAprodstorage/opastorage/live/96/827/12082796/content/arcmedia/central-plains/kansas-city/285796/75-SR-1048.jpg,"""""",Department of the Interior. Bureau of Indian Affairs. Standing Rock Agency. 9/17/1947-
https://s3.amazonaws.com/NARAprodstorage/opastorage/live/72/845/12084572/content/arcmedia/central-plains/kansas-city/285796/75-SR-785a.jpg,"""""",Department of the Interior. Bureau of Indian Affairs. Standing Rock Agency. 9/17/1947-
https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/828/12082802/content/arcmedia/central-plains/kansas-city/285796/75-SR-1050.jpg,"""""",Department of the Interior. Bureau of Indian Affairs. Standing Rock Agency. 9/17/1947-
https://s3.amazonaws.com/NARAprodstorage/opastorage/live/98/827/12082798/content/arcmedia/central-plains/kansas-city/285796/75-SR-1049.jpg,"""""",Department of the Interior. Bureau of Indian Affairs. Standing Rock Agency. 9/17/1947-
