img,desc,source
https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0002.jpg?itok=8syD01bv,"
Halibut schooner under jib, foresail, and double-reefed mainsailNest of dories on deck and amidshipsRigged for fall and winter fishingDrawing by Capt. J.W. Collins (Image credit: NOAA National Marine Fisheries Service)
",NOAA Photo Library
https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0003.jpg?itok=f11y4N5a,"
Halibut schooner in summer rigTwo topmasts up and all sails spreadDrawing by Capt. J.W. Collins (Image credit: NOAA National Marine Fisheries Service)
",NOAA Photo Library
https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0004.jpg?itok=6c7RWrGH,"
Fig. 1 - Sectional plan of halibut schoonerFig. 2 - Deck plan of halibut schoonerDrawings by Capt. J.W. Collins (Image credit: NOAA National Marine Fisheries Service)
",NOAA Photo Library
https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0005.jpg?itok=sPSfhDfy,"
Sectional plan of well-smack employed in the fresh halibut fisheryAs used on George's Bank 1836 to 1845Drawing by Capt. J.W. Collins (Image credit: NOAA National Marine Fisheries Service)
",NOAA Photo Library
https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0006.jpg?itok=g8EuIUmt,"
Fig. 1 - Bait chopper; Fig. 2 - Bait slivering knifeFig. 3 - Halibut killer and gob stick; Fig. 4 - Wooden hand nipperFig. 5 - Halibut gaff; Fig. 6 - Trawl buoy and black ballFig. 7 - Canvas skate for section of trawl; Fig. 8 - Dory scoopDrawing by Capt. J.W. Collins (Image credit: NOAA National Marine Fisheries Service)
",NOAA Photo Library
https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0008.jpg?itok=Y1Mo58nX,"
Cutting bait and baiting trawls on halibut schooner at anchorOn the fishing groundsDrawing by H. W. Elliott and Capt. J. W. Collins (Image credit: NOAA National Marine Fisheries Service)
",NOAA Photo Library
https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0009.jpg?itok=JcZmBdBc,"
Dories and crew on the way to haul the trawlsThe schooner at anchor under riding sailDrawing by H. W. Elliott and Capt. J. W. Collins (Image credit: NOAA National Marine Fisheries Service)
",NOAA Photo Library
https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0010.jpg?itok=LbSoaENW,"
Halibut dory and crew hauling the trawlGaffing and clubbing the halibutDrawing by H. W. Elliott and Capt. J. W. Collins (Image credit: NOAA National Marine Fisheries Service)
",NOAA Photo Library
https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0011.jpg?itok=sIagjrg7,"
Dory and crew caught to leeward in a storm while hauling the trawlTrawl-buoy and line drifted astern of the vessel for their rescueDrawing by H. W. Elliott and Capt. J. W. Collins (Image credit: NOAA National Marine Fisheries Service)
",NOAA Photo Library
https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0012.jpg?itok=Gip_p27i,"
Halibut schooner at anchor on the Grand Bank in winter, riding out a galeDrawing by H. W. Elliott and Capt. J. W. Collins (Image credit: NOAA National Marine Fisheries Service)
",NOAA Photo Library
