"img","desc","source"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0257.jpg?itok=wEKN6g2O","Plate 1. The Sperm Whale. Physeter Macrocephalus, L.","NOAA Photo Library"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0434.jpg?itok=kWgBgaBh","Plate 172. The Yellow Bass. Roccus interruptus (Gill), J. & G.","NOAA Photo Library"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0633.jpg?itok=olGnpMfF","
Pl. LVI. 206. Stephanoberyx Monae, Goode and Bean. At N. Lat. 37.2, W. Lon.69.65, in 2,949 fathoms. 207. Trachichthys Darwinnii, Johnson. From Steindachner and Doederlein, Denkschrift d.k. Akademie d. Wissenschaften. 208. Hoplostethus mediterraneus, Cuvier and Valenciennes. At N. Lat. 28.5, W. Lon. 78.7, at 509fathoms. (Image credit: NOAA NMFS Santa Cruz Laboratory Library)
","NOAA Photo Library"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0274.jpg?itok=EA5nCb4q","Plate 18. The Ribbon Seal, male and female. Histriophoca fasciata (Zimmerman),Gill.","NOAA Photo Library"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0258.jpg?itok=BR1saspz","Plate 2. The Pygmy Sperm Whale. Kogia Goodei, True. The Blackfish.Globiocephalus melas (Traill.)","NOAA Photo Library"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0259.jpg?itok=v266J8IL","Plate 3. The capture of a school of blackfish in Cape Cod Bay.","NOAA Photo Library"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0260.jpg?itok=oLo3O3tz","Plate 4. The Cowfish or Grampus. Grampus griseus (Less.) Gray.The Harbor Porpoise, or Herring Hog. Phocoena Brachycion, Cope.","NOAA Photo Library"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0261.jpg?itok=QwSt8DjM","Plate 5. The High-Finned Killer. Orca rectipinnis, Cope. The Skunk Porpoiseor Bay Porpoise. Lagenorynchus gubernator, Cope (L. perspicillatus, Cope).","NOAA Photo Library"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0262.jpg?itok=DeIdn4rQ","Plate 6. The White Whale, or Beluga. Delphinapterus catodon, (L.) Gill.The Narwhal. Monodon monoceros, L.","NOAA Photo Library"
"https://www.noaa.gov/sites/default/files/styles/max_1300x1300/https/s3.amazonaws.com/s3-east-testmedia-noaa.woc.noaa.gov/dam/Photos/legacy/pl23_figb0263.jpg?itok=gnJRY96C","Plate 7. The Bowhead or Arctic Whale. Balaena mysticetus, L.The Right Whale of the Pacific. Balaena japonica, Gray. (Eubalaena cullamach.)","NOAA Photo Library"
