"img","desc","source"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/2.jpg","Ojibway catching whitefish with dip nets in the St. Mary's River rapids, Sault Ste. Marie, L. Superior, circa 1900 (Public Archives of Canada, PAC32664)","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/3.jpg","A 1900-pound haul of whitefish and lake trout caught in the St. Mary's R. Sault Ste. Marie, 1890s, L. Superior (from AE Young, 1900, The Soos of Today)","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/4.jpg","Michigan State Fish Hatchery, Duluth, L. Superior, 1890s (from AE Young, 1900, The Soos of Today)","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/5.jpg","Ontario Dept. of Lands and Forests fish hatchery at Sault Ste Marie, 1956 (Public Archives of Ontario, RG9 Series, 136, Acc. #10999, Neg. 8-H-1956)","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/6.jpg","East end, location unknown, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/7.jpg","East end, Tug LaPlante, location unknown, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/9.jpg","A. Booth and Co's station at Quebec Hbr., Michipicoten Is., L. Superior, c. 1900 (from JM Bell, 1905, Ont. Bur. of Mines, Reports, 14 (Pt. I), 278-355)","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/10.jpg","Pic River, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/11.jpg","Port Coldwell harbour, L. Superior. The tug “Georgina” was first operated in the 1890s by the Union Fish Co. of Port Arthur.","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/12.jpg","Fishing village, Jack Fish, Lake Superior, on Canadian Pacific Railway, L. Superior, c. 1911 (Public Archives Canada, PAC26018)","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/13.jpg","View of the town of Jackfish from the harbour, from a postcard, L. Superior, n.d. The 22-room Lakeview Hotel is on the far side of the track on the right (courtesy Peter Dahl, 8/85)","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/14.jpg","The Gunilda owned by oil baron William Harkness of Cleveland, Ohio, prior to sinking in 1911 near Rossport, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/15.jpg","Steam tug, Rossport, L. Superior, pre-1918","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/16.jpg","McKay's Landing (Rossport), L. Superior, c. 1890","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/17.jpg","Rossport, L. Superior, 1920s (?). The large Nipigon Bay Fish Co. sheds were those first erected by the company","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/18.jpg","Rossport, L. Superior, 1940s. The Nipigon Bay Fish Co. buildings are gone and the base of operations has shifted farther east.","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/19.jpg","Nipigon Bay Fish Company fish shed, showing the tugs ""B and B"", ""Rossport"" (belonging to Fred Gerow), ""Christina Mac"" (belonging to Charles Gerow), Rossport, L. Superior, early 1920s","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/20.jpg","Filling the ice house for the Nipigon Bay Fish Co., Rossport, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/21.jpg","Preparing the catch for shipment, Rossport, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/22.jpg","A lake trout weighing 64 pounds dressed, with Einar Anderson, J.A. Nicol, and John Anderson, Rossport, L. Superior","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/23.jpg","Felix Legault and automatic net lifter on the tug Rossport belonging to Fred Gerow, Rossport, L Superior, 1915","Canadian Great Lakes North Shore Fisheries Archive"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/greatLakes/24.jpg","The tug ""Ester Anderson"", belonging to Oscar Anderson, with Felix Legault’s brother Lester on shore, Rossport, L. Superior, c. 1930","Canadian Great Lakes North Shore Fisheries Archive"
