"img","source","desc"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/01/zoologicascienti01newy_0530.jpeg","Zoologica Vol. I (1907-1915)","Natural history of the Whale Shark, Rhineodon typus"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/01/zoologicascienti01newy_0536.jpeg","Zoologica Vol. I (1907-1915)","Natural history of the Whale Shark, Rhineodon typus"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/01/zoologicascienti01newy_0540.jpeg","Zoologica Vol. I (1907-1915)","Natural history of the Whale Shark, Rhineodon typus"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/01/zoologicascienti01newy_0546.jpeg","Zoologica Vol. I (1907-1915)","Natural history of the Whale Shark, Rhineodon typus"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/01/zoologicascienti01newy_0553.jpeg","Zoologica Vol. I (1907-1915)","Natural history of the Whale Shark, Rhineodon typus"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/01/zoologicascienti01newy_0562.jpeg","Zoologica Vol. I (1907-1915)","Natural history of the Whale Shark, Rhineodon typus"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/01/zoologicascienti01newy_0566.jpeg","Zoologica Vol. I (1907-1915)","Natural history of the Whale Shark, Rhineodon typus"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0378.jpeg","Zoologica Vol. II (1915-1924)","A contribution to the life history of the puffer"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0381.jpeg","Zoologica Vol. II (1915-1924)","A contribution to the life history of the puffer"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0384.jpeg","Zoologica Vol. II (1915-1924)","A contribution to the life history of the puffer"
