"img","source","desc"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0053.jpeg","Zoologica Vol. XII","Haplophryne hudsonius"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0054.jpeg","Zoologica Vol. XII","Haplophryne hudsonius"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0055.jpeg","Zoologica Vol. XII","Haplophryne hudsonius"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0056.jpeg","Zoologica Vol. XII","Haplophryne hudsonius"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0069.jpeg","Zoologica Vol. XII","Notostomus beebei"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0081.jpeg","Zoologica Vol. XII","New decapod and isopod crustaceans from Gonave Bay, Haiti"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0084.jpeg","Zoologica Vol. XII","New decapod and isopod crustaceans from Gonave Bay, Haiti"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0088.jpeg","Zoologica Vol. XII","New decapod and isopod crustaceans from Gonave Bay, Haiti"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0090.jpeg","Zoologica Vol. XII","New decapod and isopod crustaceans from Gonave Bay, Haiti"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0108.jpeg","Zoologica Vol. XII","Gill-Finned Goby"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0142.jpeg","Zoologica Vol. XII","New species of fish from the West Indies"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0145.jpeg","Zoologica Vol. XII","New species of fish from the West Indies"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0155.jpeg","Zoologica Vol. XII","Clearing and dyeing fish for bone study"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0158.jpeg","Zoologica Vol. XII","Clearing and dyeing fish for bone study"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0160.jpeg","Zoologica Vol. XII","Clearing and dyeing fish for bone study"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0162.jpeg","Zoologica Vol. XII","Clearing and dyeing fish for bone study"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0186.jpeg","Zoologica Vol. XII","Bermuda Oceanographic Expeditions 1929-1930"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0188.jpeg","Zoologica Vol. XII","Bermuda Oceanographic Expeditions 1929-1930"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0190.jpeg","Zoologica Vol. XII","Bermuda Oceanographic Expeditions 1929-1930"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0192.jpeg","Zoologica Vol. XII","Bermuda Oceanographic Expeditions 1929-1930"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0193.jpeg","Zoologica Vol. XII","Bermuda Oceanographic Expeditions 1929-1930"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0194.jpeg","Zoologica Vol. XII","Bermuda Oceanographic Expeditions 1929-1930"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0195.jpeg","Zoologica Vol. XII","Bermuda Oceanographic Expeditions 1929-1930"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0242.jpeg","Zoologica Vol. XII","Nineteen new species and four post-larvel deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0254.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0255.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0256.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0258.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0261.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0263.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0266.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0270.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0274.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0275.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0278.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0279.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0283.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0286.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0289.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0290.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
